,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,5.303479249,5.320726481,5.3291789,5.329968964,5.320037038,5.299927774,5.275510871,5.258437386,5.259324111,5.278790117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5.301078856,5.315411652,5.324539837,5.328591567,5.324508477,5.311254731,5.291283261,5.270941712,5.259787267,5.264042593,5.281446607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5.298609602,5.310806782,5.320144942,5.326067733,5.326127153,5.318500111,5.30370554,5.285109641,5.268725774,5.26187661,5.267722189,5.282798422,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5.296186101,5.306813687,5.315969185,5.323028363,5.32580987,5.322596885,5.312717776,5.297581015,5.28091217,5.267950748,5.264057883,5.270409386,5.283266278,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5.293896229,5.303273123,5.312136249,5.319671176,5.324330151,5.324305093,5.318620236,5.307520296,5.292772084,5.278150914,5.267963931,5.266014558,5.272266864,5.283169661,,,,,,,,,,,,,,,,,,,,,,,,,
15,5.291809565,5.300204006,5.308607912,5.316364335,5.322074505,5.324419077,5.322034733,5.314611553,5.302981254,5.288988189,5.276282257,5.268271901,5.267585426,5.273475013,5.282754485,,,,,,,,,,,,,,,,,,,,,,,,
16,5.289923009,5.297490259,5.305418737,5.313106325,5.319445901,5.32337548,5.323545631,5.319340847,5.310826862,5.298975941,5.286096248,5.274878585,5.268712016,5.268769157,5.274207517,5.28216085,,,,,,,,,,,,,,,,,,,,,,,
17,5.28779679,5.294589064,5.302008086,5.309410586,5.316170541,5.321160341,5.323503574,5.322116764,5.316778249,5.307873941,5.296313711,5.284442778,5.274537417,5.269417685,5.269700098,5.274411731,5.281141384,,,,,,,,,,,,,,,,,,,,,,
18,5.285872856,5.291990635,5.298821099,5.305931427,5.312663414,5.318443208,5.322149374,5.323114768,5.320510077,5.314421773,5.305331671,5.294084512,5.283070728,5.274197833,5.269858207,5.270256048,5.274355373,5.280111959,,,,,,,,,,,,,,,,,,,,,
19,5.283880339,5.289327963,5.295581883,5.30217179,5.308869158,5.314908841,5.319811448,5.322469394,5.322430098,5.319101196,5.312599992,5.303492389,5.292527866,5.282172887,5.274016713,5.270155317,5.270495819,5.273995975,5.278906206,,,,,,,,,,,,,,,,,,,,
20,5.281631068,5.286385352,5.291906013,5.29800499,5.304295148,5.310641444,5.316146199,5.320462395,5.322468524,5.321910989,5.318326375,5.311580087,5.30246155,5.291602346,5.281635487,5.273882748,5.270246042,5.270392764,5.27329106,5.27741316,,,,,,,,,,,,,,,,,,,
21,5.278483222,5.282345252,5.287069595,5.292379232,5.298456254,5.304693033,5.311125633,5.316615618,5.320988061,5.323029888,5.32255143,5.318925169,5.311794945,5.302384659,5.291218873,5.281251025,5.273538301,5.269853756,5.269633739,5.271845684,5.275115008,,,,,,,,,,,,,,,,,,
22,5.273879856,5.27708073,5.280949659,5.286036781,5.291647749,5.29845078,5.305071322,5.312237442,5.317707016,5.322321285,5.323494837,5.322385203,5.31690357,5.309140119,5.29826984,5.287597948,5.277571598,5.270947819,5.267596572,5.267373262,5.269048897,5.271398076,,,,,,,,,,,,,,,,,
23,4.744540523,4.476691275,4.439057854,4.481431508,4.595658355,4.558058835,4.345592697,4.089449618,3.80030912,3.668808338,3.588719907,3.715435648,3.952183814,4.228159979,4.213386961,4.334150804,4.703104444,4.644664598,4.508607079,4.641864817,4.910581641,5.093647542,4.770873938,,,,,,,,,,,,,,,,
24,4.899174915,4.998607056,4.924721658,4.562551422,4.185862844,3.926398446,3.984638291,4.259003622,4.045233084,4.089939788,4.038458295,4.135456824,4.176347876,3.800353165,3.988682428,4.328137047,4.50369628,4.660542836,4.604255422,5.254473082,5.203298112,5.146854169,5.083925989,4.684021103,,,,,,,,,,,,,,,
25,4.413429868,4.721447848,5.038007651,5.48563967,5.657175533,5.77157402,5.848195212,5.758624507,5.499853241,5.404742615,4.723320443,4.432989427,4.253591507,3.813104783,3.734842637,3.003315343,3.08871817,3.162416917,3.120375819,2.955543577,3.157148953,3.152657529,3.419021882,3.795735615,4.057711918,,,,,,,,,,,,,,
26,3.225940703,3.392540679,3.761967361,4.188192319,4.449475877,4.722765435,5.224346983,5.655353814,5.990031027,5.327263787,4.995428969,4.855021507,4.82657195,4.628432967,5.01990886,4.399674438,4.09114241,3.879402559,3.788897791,3.772447669,3.635103512,3.410665958,3.46975749,3.368152764,3.302553418,3.301147859,,,,,,,,,,,,,
27,3.106033987,2.758212361,3.254533274,3.536281501,3.822392053,3.926851099,3.831561617,4.210705355,4.439261721,4.872660414,5.33307682,5.677354502,5.800803308,5.333878579,5.220158288,4.808908292,4.615788804,4.625368926,4.456173531,4.470347357,4.497857838,4.452470696,4.342516677,4.179030221,4.123327725,3.769994976,3.334878265,,,,,,,,,,,,
28,3.364439265,3.478509552,3.629380689,3.67538393,3.704270966,3.63564032,3.38535113,3.766369279,4.111106588,4.631033342,4.80299035,4.777659115,4.8032825,4.785263738,4.843960223,4.7597477,4.150284191,4.353643643,3.991707686,3.66984725,4.148673539,4.6828765,4.730083023,4.788857301,4.578070819,4.332637749,3.94135704,3.586391239,,,,,,,,,,,
29,3.122279758,3.137917311,3.191028683,3.211332078,3.247357791,3.177601401,2.986418073,2.750756758,2.744191083,2.74423684,3.247838285,4.077634337,4.136704594,4.803002226,5.136161757,5.478063194,5.716445138,5.893189661,5.850598488,5.003156254,3.915797299,3.691413415,3.912593532,4.159950187,4.457258835,4.932394647,4.774043016,4.52215248,3.971807802,,,,,,,,,,
30,4.148121775,3.828693021,3.770712989,3.740723611,3.670244361,3.641148468,3.589609189,3.16243684,2.948035069,2.847163116,3.109069072,3.218318171,3.628241431,4.116890985,4.868408091,5.099067243,5.670990026,5.871127751,5.470593911,5.046846431,4.994336584,4.289319431,3.686870531,3.64911484,3.87299864,3.886430059,3.84443851,3.808338432,4.182671104,4.489196442,,,,,,,,,
31,4.165074436,4.154239422,4.188310534,3.947140787,3.71696811,3.149084402,3.121886743,3.310943767,3.253855243,3.210950297,3.514733388,3.587086103,3.330559136,3.800141458,4.154485125,4.612374717,4.980659017,5.508767706,5.484514981,5.384881331,5.179296761,4.773808682,4.398640708,3.871405063,3.49442236,3.851244628,3.694137081,3.809651138,3.930477548,3.818718917,3.874254256,,,,,,,,
32,4.526910455,4.438124812,4.487818492,3.891359271,3.463679008,3.427385772,3.551731937,3.460631602,3.359241674,2.931603692,2.582953139,2.420583102,2.44240544,2.879340157,3.147233015,3.629104295,4.009512045,4.605405525,4.886156374,5.158932345,4.967740496,5.036306215,5.047838833,4.989646707,3.793970557,3.465597165,3.42425316,3.343311293,3.547371425,3.971453457,4.457539035,4.539866999,,,,,,,
33,4.007931341,4.221452253,3.937024605,3.585783973,3.592677442,3.538461514,3.547630741,3.53070598,3.557594675,3.35674881,3.379888532,3.250695864,3.107248563,3.136858726,3.193986503,3.429373793,3.699057597,3.841723586,4.159296831,4.246894095,4.770484829,5.404846533,5.428222185,5.188168749,4.877024858,4.681722763,4.120316935,3.465208213,3.552464173,3.724924207,3.616529547,3.465543403,3.571293378,,,,,,
34,4.202107314,4.336157006,4.106631292,4.177940017,4.055549017,4.053360846,4.080167162,4.040708591,3.826838456,3.498864361,2.727226997,2.687878181,2.748289078,2.729095689,2.41085875,2.682996814,3.058600645,3.074504503,3.2729992,3.960849096,4.010522683,4.330273633,4.868890802,5.451543294,5.370432166,5.198761853,4.763001003,4.372574959,3.379237351,3.478043066,3.505812991,3.887264002,3.754158458,3.896805321,,,,,
35,4.014382449,4.260871337,3.970675804,3.926646681,3.862047926,3.887663901,3.866007645,3.867129884,3.56860562,2.984724365,2.650402965,2.993885517,3.241396818,3.206852053,2.885172122,2.772978438,2.853056623,3.125589159,3.36030784,3.758437337,4.190535297,4.40501697,4.888113256,4.965265997,5.359848252,5.266242642,5.342151366,4.859848715,4.485503438,3.910722922,3.476297942,3.526819339,3.668178905,3.790717204,3.64343862,,,,
36,3.347062198,3.654446901,3.925703197,4.013621812,4.104210693,3.936883969,4.022953862,4.033290663,4.094474554,4.052312613,3.871506578,3.851690392,3.306450889,2.841808061,2.972940128,2.711764222,2.573692874,2.133075189,2.233256148,2.159173164,2.203400424,2.648536866,2.79811941,3.333125854,3.793435264,4.292220892,4.97253616,5.702501888,5.733774335,5.198182667,4.795218252,3.832429706,3.784825169,3.974235809,3.738843541,3.587643984,,,
37,3.817635315,3.865606025,3.826329482,3.542448877,3.971182433,4.237891713,4.199754395,4.081614218,3.915821323,3.621327165,3.333585975,3.291181677,3.448180132,3.151164485,3.130707677,2.963900226,2.679064167,2.583454323,2.363593811,2.481604419,2.507134307,2.472682953,2.669232189,2.93226934,3.368568091,3.665648637,4.28881554,4.88469934,5.245311078,6.15054198,6.284713962,5.970031579,5.305581917,3.808714048,3.860865676,3.899619705,3.770125006,,
38,3.534744201,3.783032562,3.817692415,3.850862933,4.168540591,4.415362577,4.420803012,4.499539243,4.484020746,4.37172927,4.400852654,4.113176553,3.794431527,3.440108727,3.045870478,2.810762124,2.613185046,2.675599327,2.649758411,2.494697973,2.181614371,2.000241893,2.217169424,2.430989346,2.934497323,3.302778832,3.506014961,3.831926316,4.494854834,5.18953148,5.651323074,5.501603482,5.484256012,5.006452909,3.222714132,3.171207871,3.370814873,3.206637312,
39,3.483086055,3.224178788,3.32268733,3.642291072,4.182195858,4.51250113,4.446698974,4.50863739,3.939327549,3.68257691,3.482470458,3.340829858,3.169283216,3.194934277,3.064027164,2.760108627,2.549995592,2.544812533,2.448864018,2.206940169,2.318621846,2.545000166,2.525049885,2.780716901,3.375579894,3.585674551,3.805852412,3.887215745,3.586677912,4.048508746,4.398401933,4.933450483,5.519517747,5.005806834,4.920574054,5.356602512,4.110620218,3.808889439,3.706872265
